B1_raw,B2_raw,B3_raw,B4_raw,B5_raw,B6_raw,B7_raw,B8_raw,B9_raw,B10_raw,B11_raw,B1_rad,B2_rad,B3_rad,B4_rad,B5_rad,B6_rad,B7_rad,B8_rad,B9_rad,B10_rad,B11_rad,B1_toa,B2_toa,B3_toa,B4_toa,B5_toa,B6_toa,B7_toa,B8_toa,B9_toa,B10_toa,B11_toa,DateTimeStamp,B1_sr,B2_sr,B3_sr,B4_sr,B5_sr,B6_sr,B7_sr,B10_sr,B11_sr
8958,8089,7367,6723,11629,7292,5948,7367,5033,26553,24449,49.89309692382813,39.87591552734375,28.16018486022949,17.283512115478516,40.69231414794922,3.4990668296813965,0.4877939522266388,26.86864280700684,0.07891778647899628,8.974013328552246,8.270855903625487,0.11277024447917937,0.08801093697547913,0.06743990629911423,0.04909123852849007,0.18887163698673248,0.0653030276298523,0.02701015025377274,0.06743990629911423,0.0009402212454006076,295.5502014160156,294.4017028808594,2018-10-12,178,203,350,309,1781,562,247,2955,2944
8958,8089,7367,6723,11629,7292,5948,7367,5033,26553,24449,49.89309692382813,39.87591552734375,28.16018486022949,17.283512115478516,40.69231414794922,3.4990668296813965,0.4877939522266388,26.86864280700684,0.07891778647899628,8.974013328552246,8.270855903625487,0.11277024447917937,0.08801093697547913,0.06743990629911423,0.04909123852849007,0.18887163698673248,0.0653030276298523,0.02701015025377274,0.06743990629911423,0.0009402212454006076,295.5502014160156,294.4017028808594,2018-10-12,176,205,360,311,1836,668,284,2956,2944
10151,9254,8346,7814,10519,9331,7939,8425,5039,23783,21765,64.71286010742189,54.720985412597656,39.66921615600586,28.12987327575684,33.76139068603516,6.588669776916504,1.5070513486862185,38.74615478515625,0.0933515727519989,8.04827880859375,7.373863220214844,0.12677820026874542,0.10470092296600343,0.0823529064655304,0.0692591443657875,0.13583554327487946,0.10659607499837877,0.07233568280935287,0.0842972844839096,0.0009598766337148844,288.5970458984375,286.4702453613281,2013-04-02,348,402,542,528,1292,1089,764,2886,2865
8902,8052,7121,6668,8090,7728,6518,6991,5028,24288,22470,49.4122200012207,39.5761604309082,25.344749450683594,16.807188034057614,19.053150177001953,4.183025360107422,0.7845433354377747,22.70255279541016,0.06749442219734192,8.217049598693848,7.609474182128906,0.1164517179131508,0.09108422696590424,0.06329935789108276,0.04977997392416,0.0922183021903038,0.08141472935676575,0.0453033559024334,0.059419620782136924,0.0008356291218660773,289.8976745605469,288.6019287109375,2015-10-20,211,235,314,319,856,835,480,2899,2886
8902,8052,7121,6668,8090,7728,6518,6991,5028,24288,22470,49.4122200012207,39.5761604309082,25.344749450683594,16.807188034057614,19.053150177001953,4.183025360107422,0.7845433354377747,22.70255279541016,0.06749442219734192,8.217049598693848,7.609474182128906,0.1164517179131508,0.09108422696590424,0.06329935789108276,0.04977997392416,0.0922183021903038,0.08141472935676575,0.0453033559024334,0.059419620782136924,0.0008356291218660773,289.8976745605469,288.6019287109375,2015-10-20,195,222,289,299,804,740,430,2898,2885
8894,8046,7071,6624,7922,7424,6354,6876,5028,24233,22432,49.31090545654297,39.49835205078125,24.74728775024414,16.363838195800778,18.017261505126953,3.716871976852417,0.699781596660614,21.391197204589844,0.06749442219734192,8.198668479919434,7.596774578094482,0.11358017474412918,0.08884571492671968,0.060406915843486786,0.04736882075667381,0.08522888273000717,0.07070321589708327,0.039493460208177567,0.05471915751695633,0.0008166980696842074,289.75677490234375,288.4879455566406,2015-10-20,211,235,314,319,856,835,480,2899,2886
8894,8046,7071,6624,7922,7424,6354,6876,5028,24233,22432,49.31090545654297,39.49835205078125,24.74728775024414,16.363838195800778,18.017261505126953,3.716871976852417,0.699781596660614,21.391197204589844,0.06749442219734192,8.198668479919434,7.596774578094482,0.11358017474412918,0.08884571492671968,0.060406915843486786,0.04736882075667381,0.08522888273000717,0.07070321589708327,0.039493460208177567,0.05471915751695633,0.0008166980696842074,289.75677490234375,288.4879455566406,2015-10-20,195,222,289,299,804,740,430,2898,2885
8221,7542,6757,6439,7385,6778,6060,6615,5033,22080,20742,41.7656364440918,33.75729751586914,21.498140335083008,14.846750259399414,15.05933666229248,2.7920632362365723,0.5610261559486389,18.85670280456543,0.08126456290483475,7.4791364669799805,7.0319766998291025,0.12787286937236786,0.100916750729084,0.06975244730710982,0.05712792649865151,0.09468388557434082,0.07058614492416382,0.04208172485232353,0.06411508470773697,0.0013100836658850312,284.0905456542969,283.309814453125,2013-12-17,199,242,349,374,893,747,461,2841,2833
8221,7542,6757,6439,7385,6778,6060,6615,5033,22080,20742,41.7656364440918,33.75729751586914,21.498140335083008,14.846750259399414,15.05933666229248,2.7920632362365723,0.5610261559486389,18.85670280456543,0.08126456290483475,7.4791364669799805,7.0319766998291025,0.12787286937236786,0.100916750729084,0.06975244730710982,0.05712792649865151,0.09468388557434082,0.07058614492416382,0.04208172485232353,0.06411508470773697,0.0013100836658850312,284.0905456542969,283.309814453125,2013-12-17,223,260,364,393,928,841,525,2842,2834
8210,7527,6743,6436,7449,6995,6201,6590,5034,22123,20769,41.62300109863281,33.55811309814453,21.32683753967285,14.8157958984375,15.463445663452148,3.1328182220458984,0.6356532573699951,18.564777374267575,0.08373226225376129,7.493506908416747,7.040999889373778,0.13240505754947662,0.10423288494348526,0.07189470529556274,0.05923166498541833,0.10101556777954103,0.08228912204504013,0.04953845962882042,0.06558381021022798,0.0014024128904566169,284.2067565917969,283.394287109375,2013-12-17,199,242,349,374,893,747,461,2841,2833
