,B1_raw,B2_raw,B3_raw,B4_raw,B5_raw,B6_raw,B7_raw,B8_raw,B9_raw,B10_raw,B11_raw,DateTimeStamp
159,10441,9377,8304,7469,11011,7382,6111,8053,5031,26977,24051,2014/08/30
160,8654,7909,7058,6802,6637,5918,5517,6941,5024,20574,19311,2016/02/09
161,10190,9114,7944,7207,9687,7098,5890,7622,5029,26544,23969,2018/08/25
162,9160,8419,7621,7456,7687,7935,6758,7836,5012,22303,20825,2014/02/19
163,29308,29031,27180,27128,29390,24402,21424,27957,6599,14915,14297,2015/08/01
164,11085,10132,9022,8256,9308,7183,6468,8794,5848,23593,21234,2015/09/02
165,12106,11079,10155,9516,12749,9405,7783,9853,5898,24945,22371,2017/05/18
166,10727,9746,8883,8191,12054,8457,6959,8341,5035,27145,24304,2015/05/29
167,11331,10311,9506,8699,12544,9705,7646,9192,5134,26846,24083,2014/05/10
168,16417,15683,14582,14162,16565,15172,14105,14645,5051,24721,22332,2020/06/27
169,17536,16798,15211,15358,16513,15411,14281,15526,5087,20505,19377,2019/03/21
170,11078,10109,9011,8245,9393,7274,6500,8795,5842,23601,21235,2015/09/02
171,10628,9582,8665,7707,11733,7371,5903,8305,5039,26656,23808,2020/08/30
172,13265,12310,11108,10477,13426,9144,7822,10883,6226,22209,19868,2018/06/22
173,10119,9117,8123,7399,9445,8968,7315,7811,5101,24803,22782,2015/04/27
174,13695,12880,11806,11161,13013,11981,10726,11658,5070,25559,22868,2015/07/16
175,22302,22385,20556,20452,21557,12961,13006,22177,11436,9447,10140,2019/10/15
176,11375,10339,9242,8549,11281,8891,6999,8934,5050,26160,23195,2017/06/19
177,10652,9598,8625,7922,10519,8066,6597,8280,5031,26234,23440,2017/08/22
178,10770,9707,8578,7887,10707,8533,6954,8325,5271,27316,24496,2018/06/06
179,9889,8848,7975,7148,11170,7714,6261,7686,5046,27550,24771,2013/08/27
180,11388,10320,9484,8774,11296,8521,6807,9132,5021,26899,24126,2016/06/16
181,8401,7708,6910,6541,7823,7563,6400,6774,5031,21379,20218,2019/01/16
182,10082,9124,8243,7594,8915,8258,6660,7961,5048,26191,23447,2019/08/28
183,11826,11053,10014,9066,11762,8048,6599,9743,5532,23760,21386,2020/09/15
184,10667,9614,8655,7945,10555,7892,6544,8354,5029,26202,23428,2017/08/22
185,10614,9582,8505,7779,9295,8505,6712,8253,5029,26874,24041,2019/09/13
186,14580,13540,12653,12020,13693,12991,11955,11970,5372,20005,18275,2019/07/11
187,10165,9253,8536,7884,10988,8756,7043,8293,5038,24669,22763,2016/04/13
188,10598,9644,8576,7873,9338,7009,6253,8302,5427,23432,21368,2015/09/18
