,B1_sr,B2_sr,B3_sr,B4_sr,B5_sr,B6_sr,B7_sr,B10_sr,B11_sr,DateTimeStamp
217,3781,3746,3572,3546,3806,2730,2551,2723,2651,2020/07/13
218,5668,5549,5378,5388,5422,3962,2926,2706,2711,2019/12/18
219,998,960,1207,1535,2339,2464,2024,2847,2840,2018/02/14
220,1793,1722,1710,1652,2112,1138,952,2686,2687,2016/11/23
221,5988,5979,5979,6035,6000,3262,2268,2696,2692,2017/03/31
222,35,117,338,305,935,505,345,2891,2862,2013/07/10
223,2652,2648,2502,2437,2718,1474,1319,2674,2660,2019/12/02
224,3789,3723,3977,3907,4047,3950,3345,2835,2813,2019/10/31
225,3401,3364,3300,3259,3351,3586,3124,2807,2798,2018/03/18
226,1421,1398,1551,1481,1863,1827,1687,2782,2751,2019/07/11
227,349,427,586,590,1089,1184,722,2831,2816,2020/02/04
228,99,139,309,241,1179,410,168,2950,2920,2018/09/10
229,911,930,1012,985,1568,991,667,2835,2842,2019/07/27
230,292,327,477,408,799,749,506,2872,2850,2019/04/06
231,300,350,528,484,1198,806,447,2945,2922,2016/05/15
232,274,321,446,497,931,773,484,2847,2839,2018/01/13
233,193,302,514,477,1433,671,358,2946,2918,2018/07/08
234,5344,5456,5609,5780,6158,5289,4310,2771,2738,2014/03/23
235,226,279,488,416,1562,621,299,2938,2916,2013/09/28
236,213,309,502,473,1311,844,469,2946,2908,2017/06/19
237,2634,2627,2466,2414,2641,1445,1296,2673,2661,2019/12/02
238,371,432,573,528,1435,646,349,2946,2918,2018/07/08
239,5149,5194,5462,5635,5797,4775,3521,2888,2878,2018/04/03
240,986,983,798,823,994,865,677,2832,2814,2015/03/10
241,246,310,427,450,1133,978,609,2768,2758,2017/12/28
242,660,740,636,666,885,837,639,2833,2815,2015/03/10
243,479,522,757,681,1795,956,606,2939,2883,2020/07/29
244,382,505,775,684,1773,1013,617,2943,2911,2014/06/11
245,3792,3704,3678,3666,3755,2741,1942,2657,2648,2017/01/10
246,565,766,1422,1267,1953,2179,2026,2806,2775,2020/12/04
247,1066,1094,1174,1099,1672,997,735,2799,2757,2014/07/13
248,1362,1381,1452,1386,1811,1128,917,2725,2707,2018/05/05
249,798,823,894,911,1176,967,719,2789,2764,2015/03/26
250,3801,3711,3665,3659,3765,2740,1929,2657,2648,2017/01/10
251,4681,4649,4554,4627,4894,4525,3827,2766,2744,2014/12/04
252,2031,2008,2067,2015,2269,2187,2040,2805,2774,2020/12/04
253,9343,9204,9908,9970,9812,1950,2466,2392,2403,2016/05/31
254,1652,1579,1554,1456,1725,1088,853,2821,2777,2020/08/14
255,1136,1120,1097,1015,1410,824,604,2800,2777,2017/09/07
256,3845,3777,4026,3962,4097,3981,3420,2835,2813,2019/10/31
257,807,841,975,904,1435,828,624,2789,2768,2020/05/10
258,2066,2014,2011,1936,2212,1128,1012,2641,2641,2013/11/15
259,5198,5240,5195,5136,5408,4479,4028,2625,2610,2015/08/01
260,3750,3705,3692,3587,3750,1929,1995,2386,2354,2020/04/24
261,2157,2113,2023,1909,2298,1170,1005,2581,2591,2014/06/27
262,351,404,529,469,1001,493,324,2877,2852,2015/09/18
263,1290,1253,1405,1369,1738,1249,1114,2624,2659,2018/05/21
264,336,427,726,664,1754,947,601,2939,2883,2020/07/29
265,2327,2278,2226,2160,2588,1219,1109,2627,2596,2015/05/13
266,4841,4972,4735,4637,4766,2369,2437,2412,2434,2019/10/15
267,1649,1577,1540,1433,1712,1081,818,2821,2777,2020/08/14
268,6606,6583,6477,6495,6502,2376,1866,2681,2681,2013/12/01
269,2068,2018,2009,1936,2205,1113,1005,2641,2640,2013/11/15
270,2931,2896,2791,2830,3058,2883,2670,2798,2790,2019/03/21
271,6144,6137,6107,6113,6225,1958,1713,2668,2652,2019/06/09
272,5272,5225,5102,5123,5367,2566,2201,2631,2622,2018/07/24
273,1286,1251,1405,1365,1719,1271,1127,2624,2657,2018/05/21
274,2161,2113,2029,1916,2304,1183,1021,2583,2591,2014/06/27
275,6143,6137,6096,6097,6224,1956,1694,2668,2652,2019/06/09
276,5350,5463,5624,5781,6156,5286,4283,2771,2739,2014/03/23
277,7095,7007,6860,6819,6865,2917,2752,2516,2508,2020/01/19
278,7244,7244,7212,7227,7258,1395,1642,2395,2417,2020/05/26
279,7799,7835,7820,7930,8069,4515,3520,2621,2621,2015/04/11
280,3433,3350,3341,3275,3488,2301,2200,2464,2476,2020/03/23
281,3746,3702,3679,3575,3751,1929,1982,2386,2354,2020/04/24
282,8192,8133,7947,7925,7818,2862,3111,2274,2270,2015/12/23
283,3439,3356,3358,3287,3490,2301,2202,2464,2475,2020/03/23
